#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
   203    0.54938E+04   -0.10088E+02    0.83381E-06    0.89515E-04   -0.10088E+02    0.63575E+00   -0.16526E-08   -0.36776E-08    0.83381E-06   -0.16526E-08    0.12248E-11    0.26927E-07    0.89515E-04   -0.36776E-08    0.26927E-07    0.79640E-01
   204    0.55040E+04   -0.87908E+01    0.82340E-06    0.81916E-04   -0.87908E+01    0.63826E+00   -0.15249E-08   -0.35833E-08    0.82340E-06   -0.15249E-08    0.12065E-11    0.26781E-07    0.81916E-04   -0.35833E-08    0.26781E-07    0.79999E-01
   205    0.55137E+04   -0.74733E+01    0.81312E-06    0.74707E-04   -0.74733E+01    0.64173E+00   -0.13988E-08   -0.34892E-08    0.81312E-06   -0.13988E-08    0.11885E-11    0.26637E-07    0.74707E-04   -0.34892E-08    0.26637E-07    0.80359E-01
   206    0.55227E+04   -0.61367E+01    0.80297E-06    0.67877E-04   -0.61367E+01    0.64620E+00   -0.12743E-08   -0.33955E-08    0.80297E-06   -0.12743E-08    0.11708E-11    0.26495E-07    0.67877E-04   -0.33955E-08    0.26495E-07    0.80719E-01
   207    0.55312E+04   -0.47815E+01    0.79293E-06    0.61417E-04   -0.47815E+01    0.65167E+00   -0.11514E-08   -0.33021E-08    0.79293E-06   -0.11514E-08    0.11534E-11    0.26354E-07    0.61417E-04   -0.33021E-08    0.26354E-07    0.81079E-01
   208    0.55389E+04   -0.34080E+01    0.78302E-06    0.55318E-04   -0.34080E+01    0.65821E+00   -0.10300E-08   -0.32090E-08    0.78302E-06   -0.10300E-08    0.11364E-11    0.26214E-07    0.55318E-04   -0.32090E-08    0.26214E-07    0.81440E-01
   209    0.55461E+04   -0.20168E+01    0.77322E-06    0.49571E-04   -0.20168E+01    0.66584E+00   -0.91011E-09   -0.31165E-08    0.77322E-06   -0.91011E-09    0.11197E-11    0.26076E-07    0.49571E-04   -0.31165E-08    0.26076E-07    0.81801E-01
   210    0.55526E+04   -0.60859E+00    0.76355E-06    0.44165E-04   -0.60859E+00    0.67461E+00   -0.79177E-09   -0.30243E-08    0.76355E-06   -0.79177E-09    0.11032E-11    0.25940E-07    0.44165E-04   -0.30243E-08    0.25940E-07    0.82162E-01
   211    0.55586E+04    0.81648E+00    0.75399E-06    0.39093E-04    0.81648E+00    0.68454E+00   -0.67492E-09   -0.29328E-08    0.75399E-06   -0.67492E-09    0.10871E-11    0.25805E-07    0.39093E-04   -0.29328E-08    0.25805E-07    0.82524E-01
   212    0.55639E+04    0.22575E+01    0.74455E-06    0.34344E-04    0.22575E+01    0.69567E+00   -0.55956E-09   -0.28417E-08    0.74455E-06   -0.55956E-09    0.10713E-11    0.25672E-07    0.34344E-04   -0.28417E-08    0.25672E-07    0.82887E-01
   213    0.55686E+04    0.37146E+01    0.73522E-06    0.29908E-04    0.37146E+01    0.70803E+00   -0.44567E-09   -0.27513E-08    0.73522E-06   -0.44567E-09    0.10558E-11    0.25540E-07    0.29908E-04   -0.27513E-08    0.25540E-07    0.83250E-01
   214    0.55727E+04    0.51865E+01    0.72601E-06    0.25778E-04    0.51865E+01    0.72163E+00   -0.33323E-09   -0.26615E-08    0.72601E-06   -0.33323E-09    0.10406E-11    0.25410E-07    0.25778E-04   -0.26615E-08    0.25410E-07    0.83613E-01
   215    0.55762E+04    0.66724E+01    0.71691E-06    0.21943E-04    0.66724E+01    0.73665E+00   -0.22223E-09   -0.25724E-08    0.71691E-06   -0.22223E-09    0.10257E-11    0.25281E-07    0.21943E-04   -0.25724E-08    0.25281E-07    0.83977E-01
   216    0.55790E+04    0.81730E+01    0.70792E-06    0.18393E-04    0.81730E+01    0.75290E+00   -0.11265E-09   -0.24840E-08    0.70792E-06   -0.11265E-09    0.10110E-11    0.25154E-07    0.18393E-04   -0.24840E-08    0.25154E-07    0.84341E-01
   217    0.55813E+04    0.96862E+01    0.69905E-06    0.15121E-04    0.96862E+01    0.77055E+00   -0.44733E-11   -0.23964E-08    0.69905E-06   -0.44733E-11    0.99664E-12    0.25028E-07    0.15121E-04   -0.23964E-08    0.25028E-07    0.84706E-01
   218    0.55829E+04    0.11212E+02    0.69028E-06    0.12115E-04    0.11212E+02    0.78959E+00    0.10231E-09   -0.23096E-08    0.69028E-06    0.10231E-09    0.98254E-12    0.24903E-07    0.12115E-04   -0.23096E-08    0.24903E-07    0.85071E-01
   219    0.55840E+04    0.12752E+02    0.68162E-06    0.93673E-05    0.12752E+02    0.81002E+00    0.20772E-09   -0.22236E-08    0.68162E-06    0.20772E-09    0.96870E-12    0.24780E-07    0.93673E-05   -0.22236E-08    0.24780E-07    0.85436E-01
   220    0.55845E+04    0.14302E+02    0.67308E-06    0.68681E-05    0.14302E+02    0.83198E+00    0.31177E-09   -0.21386E-08    0.67308E-06    0.31177E-09    0.95512E-12    0.24658E-07    0.68681E-05   -0.21386E-08    0.24658E-07    0.85802E-01
   221    0.55843E+04    0.15862E+02    0.66463E-06    0.46079E-05    0.15862E+02    0.85541E+00    0.41448E-09   -0.20545E-08    0.66463E-06    0.41448E-09    0.94180E-12    0.24537E-07    0.46079E-05   -0.20545E-08    0.24537E-07    0.86168E-01
   222    0.55836E+04    0.17434E+02    0.65629E-06    0.25775E-05    0.17434E+02    0.88044E+00    0.51586E-09   -0.19714E-08    0.65629E-06    0.51586E-09    0.92873E-12    0.24418E-07    0.25775E-05   -0.19714E-08    0.24418E-07    0.86535E-01
   223    0.55822E+04    0.19016E+02    0.64806E-06    0.76739E-06    0.19016E+02    0.90702E+00    0.61593E-09   -0.18892E-08    0.64806E-06    0.61593E-09    0.91591E-12    0.24300E-07    0.76739E-06   -0.18892E-08    0.24300E-07    0.86902E-01
   224    0.55803E+04    0.20605E+02    0.63993E-06   -0.83168E-06    0.20605E+02    0.93512E+00    0.71471E-09   -0.18082E-08    0.63993E-06    0.71471E-09    0.90334E-12    0.24183E-07   -0.83168E-06   -0.18082E-08    0.24183E-07    0.87269E-01
   225    0.55777E+04    0.22204E+02    0.63190E-06   -0.22291E-05    0.22204E+02    0.96491E+00    0.81221E-09   -0.17283E-08    0.63190E-06    0.81221E-09    0.89100E-12    0.24068E-07   -0.22291E-05   -0.17283E-08    0.24068E-07    0.87636E-01
   226    0.55746E+04    0.23810E+02    0.62398E-06   -0.34343E-05    0.23810E+02    0.99637E+00    0.90844E-09   -0.16495E-08    0.62398E-06    0.90844E-09    0.87889E-12    0.23954E-07   -0.34343E-05   -0.16495E-08    0.23954E-07    0.88004E-01
   227    0.55707E+04    0.25424E+02    0.61615E-06   -0.44566E-05    0.25424E+02    0.10295E+01    0.10034E-08   -0.15719E-08    0.61615E-06    0.10034E-08    0.86701E-12    0.23841E-07   -0.44566E-05   -0.15719E-08    0.23841E-07    0.88373E-01
   228    0.55664E+04    0.27044E+02    0.60843E-06   -0.53053E-05    0.27044E+02    0.10643E+01    0.10972E-08   -0.14956E-08    0.60843E-06    0.10972E-08    0.85535E-12    0.23729E-07   -0.53053E-05   -0.14956E-08    0.23729E-07    0.88741E-01
   229    0.55615E+04    0.28670E+02    0.60080E-06   -0.59899E-05    0.28670E+02    0.11009E+01    0.11897E-08   -0.14205E-08    0.60080E-06    0.11897E-08    0.84391E-12    0.23618E-07   -0.59899E-05   -0.14205E-08    0.23618E-07    0.89111E-01
   230    0.55559E+04    0.30301E+02    0.59327E-06   -0.65197E-05    0.30301E+02    0.11392E+01    0.12811E-08   -0.13468E-08    0.59327E-06    0.12811E-08    0.83269E-12    0.23509E-07   -0.65197E-05   -0.13468E-08    0.23509E-07    0.89480E-01
   231    0.55497E+04    0.31937E+02    0.58583E-06   -0.69041E-05    0.31937E+02    0.11794E+01    0.13712E-08   -0.12744E-08    0.58583E-06    0.13712E-08    0.82167E-12    0.23401E-07   -0.69041E-05   -0.12744E-08    0.23401E-07    0.89850E-01
   232    0.55429E+04    0.33577E+02    0.57849E-06   -0.71523E-05    0.33577E+02    0.12213E+01    0.14602E-08   -0.12034E-08    0.57849E-06    0.14602E-08    0.81086E-12    0.23293E-07   -0.71523E-05   -0.12034E-08    0.23293E-07    0.90220E-01
   233    0.55355E+04    0.35219E+02    0.57124E-06   -0.72739E-05    0.35219E+02    0.12652E+01    0.15481E-08   -0.11339E-08    0.57124E-06    0.15481E-08    0.80025E-12    0.23187E-07   -0.72739E-05   -0.11339E-08    0.23187E-07    0.90590E-01
   234    0.55274E+04    0.36863E+02    0.56409E-06   -0.72781E-05    0.36863E+02    0.13109E+01    0.16348E-08   -0.10658E-08    0.56409E-06    0.16348E-08    0.78983E-12    0.23082E-07   -0.72781E-05   -0.10658E-08    0.23082E-07    0.90961E-01
   235    0.55188E+04    0.38509E+02    0.55702E-06   -0.71744E-05    0.38509E+02    0.13584E+01    0.17203E-08   -0.99931E-09    0.55702E-06    0.17203E-08    0.77960E-12    0.22978E-07   -0.71744E-05   -0.99931E-09    0.22978E-07    0.91332E-01
   236    0.55095E+04    0.40157E+02    0.55005E-06   -0.69721E-05    0.40157E+02    0.14079E+01    0.18048E-08   -0.93438E-09    0.55005E-06    0.18048E-08    0.76955E-12    0.22875E-07   -0.69721E-05   -0.93438E-09    0.22875E-07    0.91703E-01
   237    0.54997E+04    0.41804E+02    0.54317E-06   -0.66805E-05    0.41804E+02    0.14594E+01    0.18882E-08   -0.87106E-09    0.54317E-06    0.18882E-08    0.75968E-12    0.22773E-07   -0.66805E-05   -0.87106E-09    0.22773E-07    0.92075E-01
   238    0.54892E+04    0.43452E+02    0.53637E-06   -0.63090E-05    0.43452E+02    0.15129E+01    0.19705E-08   -0.80940E-09    0.53637E-06    0.19705E-08    0.74999E-12    0.22672E-07   -0.63090E-05   -0.80940E-09    0.22672E-07    0.92446E-01
   239    0.54782E+04    0.45098E+02    0.52966E-06   -0.58671E-05    0.45098E+02    0.15683E+01    0.20518E-08   -0.74945E-09    0.52966E-06    0.20518E-08    0.74047E-12    0.22573E-07   -0.58671E-05   -0.74945E-09    0.22573E-07    0.92819E-01
   240    0.54665E+04    0.46742E+02    0.52304E-06   -0.53640E-05    0.46742E+02    0.16256E+01    0.21320E-08   -0.69124E-09    0.52304E-06    0.21320E-08    0.73112E-12    0.22474E-07   -0.53640E-05   -0.69124E-09    0.22474E-07    0.93191E-01
   241    0.54543E+04    0.48383E+02    0.51651E-06   -0.48091E-05    0.48383E+02    0.16851E+01    0.22112E-08   -0.63481E-09    0.51651E-06    0.22112E-08    0.72192E-12    0.22376E-07   -0.48091E-05   -0.63481E-09    0.22376E-07    0.93564E-01
   242    0.54415E+04    0.50021E+02    0.51005E-06   -0.42118E-05    0.50021E+02    0.17465E+01    0.22894E-08   -0.58022E-09    0.51005E-06    0.22894E-08    0.71288E-12    0.22278E-07   -0.42118E-05   -0.58022E-09    0.22278E-07    0.93937E-01
   243    0.54282E+04    0.51655E+02    0.50368E-06   -0.35815E-05    0.51655E+02    0.18100E+01    0.23666E-08   -0.52750E-09    0.50368E-06    0.23666E-08    0.70399E-12    0.22182E-07   -0.35815E-05   -0.52750E-09    0.22182E-07    0.94310E-01
   244    0.54142E+04    0.53285E+02    0.49739E-06   -0.29275E-05    0.53285E+02    0.18756E+01    0.24428E-08   -0.47669E-09    0.49739E-06    0.24428E-08    0.69525E-12    0.22087E-07   -0.29275E-05   -0.47669E-09    0.22087E-07    0.94684E-01
   245    0.53997E+04    0.54909E+02    0.49119E-06   -0.22592E-05    0.54909E+02    0.19433E+01    0.25180E-08   -0.42783E-09    0.49119E-06    0.25180E-08    0.68664E-12    0.21992E-07   -0.22592E-05   -0.42783E-09    0.21992E-07    0.95057E-01
   246    0.53846E+04    0.56527E+02    0.48506E-06   -0.15859E-05    0.56527E+02    0.20130E+01    0.25923E-08   -0.38098E-09    0.48506E-06    0.25923E-08    0.67818E-12    0.21899E-07   -0.15859E-05   -0.38098E-09    0.21899E-07    0.95432E-01
   247    0.53690E+04    0.58137E+02    0.47901E-06   -0.91709E-06    0.58137E+02    0.20849E+01    0.26657E-08   -0.33617E-09    0.47901E-06    0.26657E-08    0.66984E-12    0.21806E-07   -0.91709E-06   -0.33617E-09    0.21806E-07    0.95806E-01
   248    0.53529E+04    0.59741E+02    0.47304E-06   -0.26204E-06    0.59741E+02    0.21591E+01    0.27382E-08   -0.29344E-09    0.47304E-06    0.27382E-08    0.66163E-12    0.21714E-07   -0.26204E-06   -0.29344E-09    0.21714E-07    0.96180E-01
   249    0.53363E+04    0.61336E+02    0.46714E-06    0.36986E-06    0.61336E+02    0.22352E+01    0.28098E-08   -0.25283E-09    0.46714E-06    0.28098E-08    0.65354E-12    0.21623E-07    0.36986E-06   -0.25283E-09    0.21623E-07    0.96555E-01
   250    0.53190E+04    0.62922E+02    0.46132E-06    0.96924E-06    0.62922E+02    0.23136E+01    0.28804E-08   -0.21440E-09    0.46132E-06    0.28804E-08    0.64557E-12    0.21532E-07    0.96924E-06   -0.21440E-09    0.21532E-07    0.96930E-01
   251    0.53014E+04    0.64498E+02    0.45558E-06    0.15285E-05    0.64498E+02    0.23941E+01    0.29502E-08   -0.17816E-09    0.45558E-06    0.29502E-08    0.63771E-12    0.21443E-07    0.15285E-05   -0.17816E-09    0.21443E-07    0.97305E-01
   252    0.52831E+04    0.66065E+02    0.44991E-06    0.20469E-05    0.66065E+02    0.24768E+01    0.30192E-08   -0.14408E-09    0.44991E-06    0.30192E-08    0.62997E-12    0.21354E-07    0.20469E-05   -0.14408E-09    0.21354E-07    0.97681E-01
   253    0.52644E+04    0.67620E+02    0.44431E-06    0.25256E-05    0.67620E+02    0.25615E+01    0.30873E-08   -0.11210E-09    0.44431E-06    0.30873E-08    0.62233E-12    0.21266E-07    0.25256E-05   -0.11210E-09    0.21266E-07    0.98057E-01
   254    0.52452E+04    0.69162E+02    0.43878E-06    0.29656E-05    0.69162E+02    0.26486E+01    0.31545E-08   -0.82168E-10    0.43878E-06    0.31545E-08    0.61480E-12    0.21178E-07    0.29656E-05   -0.82168E-10    0.21178E-07    0.98432E-01
   255    0.52255E+04    0.70694E+02    0.43332E-06    0.33681E-05    0.70694E+02    0.27377E+01    0.32209E-08   -0.54237E-10    0.43332E-06    0.32209E-08    0.60738E-12    0.21091E-07    0.33681E-05   -0.54237E-10    0.21091E-07    0.98809E-01
   256    0.52053E+04    0.72213E+02    0.42793E-06    0.37340E-05    0.72213E+02    0.28292E+01    0.32864E-08   -0.28250E-10    0.42793E-06    0.32864E-08    0.60006E-12    0.21005E-07    0.37340E-05   -0.28250E-10    0.21005E-07    0.99185E-01
   257    0.51847E+04    0.73712E+02    0.42261E-06    0.40645E-05    0.73712E+02    0.29227E+01    0.33511E-08   -0.41542E-11    0.42261E-06    0.33511E-08    0.59285E-12    0.20920E-07    0.40645E-05   -0.41542E-11    0.20920E-07    0.99561E-01
   258    0.51635E+04    0.75204E+02    0.41736E-06    0.43606E-05    0.75204E+02    0.30185E+01    0.34149E-08    0.18104E-10    0.41736E-06    0.34149E-08    0.58574E-12    0.20835E-07    0.43606E-05    0.18104E-10    0.20835E-07    0.99938E-01
   259    0.51419E+04    0.76674E+02    0.41218E-06    0.46235E-05    0.76674E+02    0.31165E+01    0.34779E-08    0.38579E-10    0.41218E-06    0.34779E-08    0.57873E-12    0.20751E-07    0.46235E-05    0.38579E-10    0.20751E-07    0.10031E+00
   260    0.51199E+04    0.78137E+02    0.40706E-06    0.48541E-05    0.78137E+02    0.32166E+01    0.35400E-08    0.57323E-10    0.40706E-06    0.35400E-08    0.57183E-12    0.20668E-07    0.48541E-05    0.57323E-10    0.20668E-07    0.10069E+00
   261    0.50975E+04    0.79570E+02    0.40201E-06    0.50536E-05    0.79570E+02    0.33189E+01    0.36013E-08    0.74389E-10    0.40201E-06    0.36013E-08    0.56502E-12    0.20586E-07    0.50536E-05    0.74389E-10    0.20586E-07    0.10107E+00
   262    0.50745E+04    0.80996E+02    0.39703E-06    0.52230E-05    0.80996E+02    0.34235E+01    0.36618E-08    0.89831E-10    0.39703E-06    0.36618E-08    0.55831E-12    0.20504E-07    0.52230E-05    0.89831E-10    0.20504E-07    0.10145E+00
   263    0.50513E+04    0.82408E+02    0.39210E-06    0.53635E-05    0.82408E+02    0.35302E+01    0.37214E-08    0.10370E-09    0.39210E-06    0.37214E-08    0.55170E-12    0.20422E-07    0.53635E-05    0.10370E-09    0.20422E-07    0.10182E+00
   264    0.50276E+04    0.83797E+02    0.38724E-06    0.54760E-05    0.83797E+02    0.36391E+01    0.37801E-08    0.11605E-09    0.38724E-06    0.37801E-08    0.54519E-12    0.20342E-07    0.54760E-05    0.11605E-09    0.20342E-07    0.10220E+00
   265    0.50033E+04    0.85157E+02    0.38245E-06    0.55617E-05    0.85157E+02    0.37501E+01    0.38381E-08    0.12694E-09    0.38245E-06    0.38381E-08    0.53876E-12    0.20262E-07    0.55617E-05    0.12694E-09    0.20262E-07    0.10258E+00
   266    0.49787E+04    0.86510E+02    0.37771E-06    0.56216E-05    0.86510E+02    0.38635E+01    0.38952E-08    0.13642E-09    0.37771E-06    0.38952E-08    0.53244E-12    0.20183E-07    0.56216E-05    0.13642E-09    0.20183E-07    0.10296E+00
   267    0.49536E+04    0.87833E+02    0.37303E-06    0.56568E-05    0.87833E+02    0.39788E+01    0.39515E-08    0.14454E-09    0.37303E-06    0.39515E-08    0.52620E-12    0.20104E-07    0.56568E-05    0.14454E-09    0.20104E-07    0.10334E+00
   268    0.49282E+04    0.89141E+02    0.36842E-06    0.56684E-05    0.89141E+02    0.40964E+01    0.40070E-08    0.15136E-09    0.36842E-06    0.40070E-08    0.52006E-12    0.20026E-07    0.56684E-05    0.15136E-09    0.20026E-07    0.10372E+00
   269    0.49022E+04    0.90428E+02    0.36386E-06    0.56575E-05    0.90428E+02    0.42161E+01    0.40616E-08    0.15692E-09    0.36386E-06    0.40616E-08    0.51400E-12    0.19949E-07    0.56575E-05    0.15692E-09    0.19949E-07    0.10409E+00
   270    0.48760E+04    0.91692E+02    0.35936E-06    0.56251E-05    0.91692E+02    0.43379E+01    0.41155E-08    0.16129E-09    0.35936E-06    0.41155E-08    0.50804E-12    0.19872E-07    0.56251E-05    0.16129E-09    0.19872E-07    0.10447E+00
   271    0.48494E+04    0.92935E+02    0.35491E-06    0.55723E-05    0.92935E+02    0.44618E+01    0.41685E-08    0.16451E-09    0.35491E-06    0.41685E-08    0.50216E-12    0.19796E-07    0.55723E-05    0.16451E-09    0.19796E-07    0.10485E+00
   272    0.48225E+04    0.94148E+02    0.35053E-06    0.55002E-05    0.94148E+02    0.45880E+01    0.42207E-08    0.16664E-09    0.35053E-06    0.42207E-08    0.49637E-12    0.19720E-07    0.55002E-05    0.16664E-09    0.19720E-07    0.10523E+00
   273    0.47952E+04    0.95347E+02    0.34619E-06    0.54099E-05    0.95347E+02    0.47159E+01    0.42721E-08    0.16774E-09    0.34619E-06    0.42721E-08    0.49066E-12    0.19645E-07    0.54099E-05    0.16774E-09    0.19645E-07    0.10561E+00
   274    0.47676E+04    0.96509E+02    0.34192E-06    0.53023E-05    0.96509E+02    0.48462E+01    0.43226E-08    0.16785E-09    0.34192E-06    0.43226E-08    0.48503E-12    0.19571E-07    0.53023E-05    0.16785E-09    0.19571E-07    0.10599E+00
   275    0.47396E+04    0.97656E+02    0.33769E-06    0.51787E-05    0.97656E+02    0.49782E+01    0.43724E-08    0.16703E-09    0.33769E-06    0.43724E-08    0.47949E-12    0.19497E-07    0.51787E-05    0.16703E-09    0.19497E-07    0.10637E+00
   276    0.47115E+04    0.98767E+02    0.33352E-06    0.50401E-05    0.98767E+02    0.51124E+01    0.44214E-08    0.16533E-09    0.33352E-06    0.44214E-08    0.47403E-12    0.19424E-07    0.50401E-05    0.16533E-09    0.19424E-07    0.10675E+00
   277    0.46828E+04    0.99863E+02    0.32940E-06    0.48875E-05    0.99863E+02    0.52486E+01    0.44695E-08    0.16280E-09    0.32940E-06    0.44695E-08    0.46865E-12    0.19351E-07    0.48875E-05    0.16280E-09    0.19351E-07    0.10713E+00
   278    0.46540E+04    0.10092E+03    0.32533E-06    0.47220E-05    0.10092E+03    0.53867E+01    0.45169E-08    0.15951E-09    0.32533E-06    0.45169E-08    0.46335E-12    0.19279E-07    0.47220E-05    0.15951E-09    0.19279E-07    0.10751E+00
   279    0.46248E+04    0.10195E+03    0.32131E-06    0.45448E-05    0.10195E+03    0.55268E+01    0.45635E-08    0.15549E-09    0.32131E-06    0.45635E-08    0.45812E-12    0.19208E-07    0.45448E-05    0.15549E-09    0.19208E-07    0.10789E+00
   280    0.45953E+04    0.10297E+03    0.31733E-06    0.43568E-05    0.10297E+03    0.56687E+01    0.46093E-08    0.15081E-09    0.31733E-06    0.46093E-08    0.45297E-12    0.19137E-07    0.43568E-05    0.15081E-09    0.19137E-07    0.10827E+00
   281    0.45657E+04    0.10395E+03    0.31341E-06    0.41592E-05    0.10395E+03    0.58126E+01    0.46543E-08    0.14552E-09    0.31341E-06    0.46543E-08    0.44790E-12    0.19066E-07    0.41592E-05    0.14552E-09    0.19066E-07    0.10865E+00
   282    0.45357E+04    0.10490E+03    0.30954E-06    0.39530E-05    0.10490E+03    0.59582E+01    0.46985E-08    0.13967E-09    0.30954E-06    0.46985E-08    0.44290E-12    0.18996E-07    0.39530E-05    0.13967E-09    0.18996E-07    0.10903E+00
   283    0.45055E+04    0.10582E+03    0.30571E-06    0.37393E-05    0.10582E+03    0.61057E+01    0.47419E-08    0.13332E-09    0.30571E-06    0.47419E-08    0.43797E-12    0.18927E-07    0.37393E-05    0.13332E-09    0.18927E-07    0.10941E+00
   284    0.44751E+04    0.10671E+03    0.30192E-06    0.35192E-05    0.10671E+03    0.62550E+01    0.47845E-08    0.12652E-09    0.30192E-06    0.47845E-08    0.43311E-12    0.18858E-07    0.35192E-05    0.12652E-09    0.18858E-07    0.10979E+00
   285    0.44445E+04    0.10757E+03    0.29818E-06    0.32938E-05    0.10757E+03    0.64062E+01    0.48263E-08    0.11932E-09    0.29818E-06    0.48263E-08    0.42832E-12    0.18790E-07    0.32938E-05    0.11932E-09    0.18790E-07    0.11017E+00
   286    0.44135E+04    0.10840E+03    0.29449E-06    0.30640E-05    0.10840E+03    0.65590E+01    0.48674E-08    0.11177E-09    0.29449E-06    0.48674E-08    0.42360E-12    0.18722E-07    0.30640E-05    0.11177E-09    0.18722E-07    0.11055E+00
   287    0.43824E+04    0.10920E+03    0.29083E-06    0.28311E-05    0.10920E+03    0.67135E+01    0.49077E-08    0.10393E-09    0.29083E-06    0.49077E-08    0.41895E-12    0.18655E-07    0.28311E-05    0.10393E-09    0.18655E-07    0.11093E+00
   288    0.43511E+04    0.10997E+03    0.28722E-06    0.25961E-05    0.10997E+03    0.68697E+01    0.49472E-08    0.95854E-10    0.28722E-06    0.49472E-08    0.41436E-12    0.18588E-07    0.25961E-05    0.95854E-10    0.18588E-07    0.11131E+00
   289    0.43195E+04    0.11070E+03    0.28365E-06    0.23600E-05    0.11070E+03    0.70275E+01    0.49860E-08    0.87592E-10    0.28365E-06    0.49860E-08    0.40984E-12    0.18522E-07    0.23600E-05    0.87592E-10    0.18522E-07    0.11169E+00
   290    0.42879E+04    0.11141E+03    0.28012E-06    0.21239E-05    0.11141E+03    0.71868E+01    0.50239E-08    0.79199E-10    0.28012E-06    0.50239E-08    0.40539E-12    0.18456E-07    0.21239E-05    0.79199E-10    0.18456E-07    0.11207E+00
   291    0.42561E+04    0.11208E+03    0.27663E-06    0.18889E-05    0.11208E+03    0.73482E+01    0.50612E-08    0.70727E-10    0.27663E-06    0.50612E-08    0.40099E-12    0.18391E-07    0.18889E-05    0.70727E-10    0.18391E-07    0.11245E+00
   292    0.42238E+04    0.11272E+03    0.27318E-06    0.16561E-05    0.11272E+03    0.75108E+01    0.50976E-08    0.62231E-10    0.27318E-06    0.50976E-08    0.39666E-12    0.18326E-07    0.16561E-05    0.62231E-10    0.18326E-07    0.11283E+00
   293    0.41917E+04    0.11332E+03    0.26977E-06    0.14265E-05    0.11332E+03    0.76741E+01    0.51333E-08    0.53763E-10    0.26977E-06    0.51333E-08    0.39238E-12    0.18261E-07    0.14265E-05    0.53763E-10    0.18261E-07    0.11322E+00
   294    0.41593E+04    0.11389E+03    0.26639E-06    0.12013E-05    0.11389E+03    0.78395E+01    0.51682E-08    0.45376E-10    0.26639E-06    0.51682E-08    0.38817E-12    0.18197E-07    0.12013E-05    0.45376E-10    0.18197E-07    0.11360E+00
   295    0.41269E+04    0.11443E+03    0.26305E-06    0.98146E-06    0.11443E+03    0.80057E+01    0.52024E-08    0.37125E-10    0.26305E-06    0.52024E-08    0.38401E-12    0.18134E-07    0.98146E-06    0.37125E-10    0.18134E-07    0.11398E+00
   296    0.40943E+04    0.11493E+03    0.25974E-06    0.76809E-06    0.11493E+03    0.81741E+01    0.52358E-08    0.29062E-10    0.25974E-06    0.52358E-08    0.37991E-12    0.18071E-07    0.76809E-06    0.29062E-10    0.18071E-07    0.11436E+00
   297    0.40616E+04    0.11541E+03    0.25647E-06    0.56227E-06    0.11541E+03    0.83425E+01    0.52685E-08    0.21240E-10    0.25647E-06    0.52685E-08    0.37586E-12    0.18008E-07    0.56227E-06    0.21240E-10    0.18008E-07    0.11474E+00
   298    0.40287E+04    0.11584E+03    0.25323E-06    0.36507E-06    0.11584E+03    0.85130E+01    0.53004E-08    0.13713E-10    0.25323E-06    0.53004E-08    0.37187E-12    0.17946E-07    0.36507E-06    0.13713E-10    0.17946E-07    0.11512E+00
   299    0.39958E+04    0.11623E+03    0.25003E-06    0.17757E-06    0.11623E+03    0.86851E+01    0.53316E-08    0.65345E-11    0.25003E-06    0.53316E-08    0.36793E-12    0.17884E-07    0.17757E-06    0.65345E-11    0.17884E-07    0.11550E+00
   300    0.39627E+04    0.11659E+03    0.24685E-06    0.83680E-09    0.11659E+03    0.88571E+01    0.53620E-08   -0.24252E-12    0.24685E-06    0.53620E-08    0.36404E-12    0.17823E-07    0.83680E-09   -0.24252E-12    0.17823E-07    0.11588E+00
   301    0.39296E+04    0.11692E+03    0.24371E-06   -0.16428E-06    0.11692E+03    0.90306E+01    0.53917E-08   -0.65756E-11    0.24371E-06    0.53917E-08    0.36020E-12    0.17762E-07   -0.16428E-06   -0.65756E-11    0.17762E-07    0.11627E+00
   302    0.38964E+04    0.11722E+03    0.24059E-06   -0.31785E-06    0.11722E+03    0.92048E+01    0.54206E-08   -0.12465E-10    0.24059E-06    0.54206E-08    0.35641E-12    0.17702E-07   -0.31785E-06   -0.12465E-10    0.17702E-07    0.11665E+00
   303    0.38632E+04    0.11747E+03    0.23751E-06   -0.46018E-06    0.11747E+03    0.93805E+01    0.54488E-08   -0.17923E-10    0.23751E-06    0.54488E-08    0.35267E-12    0.17642E-07   -0.46018E-06   -0.17923E-10    0.17642E-07    0.11703E+00
   304    0.38299E+04    0.11769E+03    0.23446E-06   -0.59156E-06    0.11769E+03    0.95576E+01    0.54763E-08   -0.22961E-10    0.23446E-06    0.54763E-08    0.34898E-12    0.17582E-07   -0.59156E-06   -0.22961E-10    0.17582E-07    0.11741E+00
   305    0.37966E+04    0.11787E+03    0.23143E-06   -0.71230E-06    0.11787E+03    0.97348E+01    0.55030E-08   -0.27590E-10    0.23143E-06    0.55030E-08    0.34534E-12    0.17523E-07   -0.71230E-06   -0.27590E-10    0.17523E-07    0.11779E+00
   306    0.37633E+04    0.11801E+03    0.22844E-06   -0.82270E-06    0.11801E+03    0.99126E+01    0.55290E-08   -0.31822E-10    0.22844E-06    0.55290E-08    0.34174E-12    0.17464E-07   -0.82270E-06   -0.31822E-10    0.17464E-07    0.11817E+00
